description,price,rating,review_count,url
"Bose Noise Cancelling Headphones 700 — Over Ear, Wireless Bluetooth Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Black",$379.00,4.5 out of 5 stars,21648,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0684415270L5P6WH8YGP&url=%2FBose-Cancelling-Wireless-Bluetooth-Headphones%2Fdp%2FB07Q9MJKBV%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342774%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-1-spons%26psc%3D1&qualifier=1625342774&id=8516052599535534&widgetName=sp_atf
SONY Wireless Headphones for TV Watching (WHRF400R) with Transmitter Dock (TMRRF400) – 6-ft 3.5mm Stereo + NeeGo RCA Plug Y-Adapter for TV,$109.99,4.2 out of 5 stars,3457,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03587293UPCVEQ0FT0QX&url=%2FSony-RF400-Headphone-Watch-Cable%2Fdp%2FB07J4TYZ72%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342774%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-2-spons%26psc%3D1%26smid%3DA6EGA15UEFYEQ&qualifier=1625342774&id=8516052599535534&widgetName=sp_atf
"Sony Noise Cancelling Headphones WHCH710N: Wireless Bluetooth Over the Ear Headset with Mic for Phone-Call, Black",$178.00,4.4 out of 5 stars,8276,https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WHCH710N/dp/B085RNVJ3P/ref=sr_1_3?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-3
"Sony WH-1000XM4 Wireless Industry Leading Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black",$348.00,4.7 out of 5 stars,15409,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-phone-call/dp/B0863TXGM3/ref=sr_1_4?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-4
"Sony WHXB900N Noise Cancelling Headphones, Wireless Bluetooth Over the Ear Headset with Mic for Phone-Call and Alexa Voice Control- Black (WH-XB900N/B)",$248.00,4.6 out of 5 stars,7851,https://www.amazon.com/Sony-WH-XB900N-Wireless-Canceling-Headphones/dp/B07RM8WQ8G/ref=sr_1_5?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-5
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",$9.99,4.5 out of 5 stars,59693,https://www.amazon.com/Sony-Wired-Headphones-MDRZX110-WHI/dp/B00NJ2M43M/ref=sr_1_6?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-6
"Sony WF-1000XM4 Industry Leading Noise Canceling Truly Wireless Earbud Headphones with Alexa Built-in, Black",$278.00,4.3 out of 5 stars,310,https://www.amazon.com/Sony-WF-1000XM4-Industry-Canceling-Headphones/dp/B094C4VDJZ/ref=sr_1_7?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-7
Sony MDR7506 Professional Large Diaphragm Headphone,$99.99,4.8 out of 5 stars,15503,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_8?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-8
Sony WF-1000XM3/B Industry Leading Noise Canceling Truly Wireless Headphones with Free $20 Amazon Gift Card,218.00,4.5 out of 5 stars,23,https://www.amazon.com/Sony-WF-1000XM3-Industry-Canceling-Headphones/dp/B091N25RY2/ref=sr_1_9?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-9
"Sony WH-1000XM4 Wireless Noise Canceling Over-Ear Headphones (Black) with Focus 10,000mAh Ultra-Portable LED Display Wireless Quick Charge Battery Bank Bundle (2 Items)",$348.00,4.6 out of 5 stars,361,https://www.amazon.com/Sony-WH-1000XM4-Canceling-Headphones-Ultra-Portable/dp/B08GKWXRF4/ref=sr_1_10?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-10
"Soul S-FIT True Wireless Earbuds - in Ear Headphones IP67 Waterproof, Freebit Wing Tips, Bluetooth, Transparency Mode, Touch Control Shock Resistance (Blue)",$55.99,3.9 out of 5 stars,397,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01070922TLAS8D6S22CL&url=%2FSoul-S-FIT-True-Wireless-Earbuds%2Fdp%2FB08B3BL9NQ%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342774%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-11-spons%26psc%3D1&qualifier=1625342774&id=8516052599535534&widgetName=sp_mtf
"Sony Wireless Headphones WH-CH510: Wireless Bluetooth On-Ear Headset with Mic for Phone-Call, White (Amazon Exclusive)",$59.99,4.5 out of 5 stars,9966,https://www.amazon.com/Sony-Wireless-Headphones-WH-CH510-Ear/dp/B07YGYW4PK/ref=sr_1_12?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-12
Sony WF-1000XM3/S Industry Leading Noise Canceling Truly Wireless Headphones with Free $20 Amazon Gift Card,219.99,4.4 out of 5 stars,7,https://www.amazon.com/Sony-WF-1000XM3-Industry-Canceling-Headphones/dp/B091MZCMJV/ref=sr_1_13?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-13
"Sony Noise Cancelling Wireless Headphones with 35 Hours Battery Life, Quick Charge, Built-in Mic and Voice Assistant - Black",$139.95,,More Buying Choices,https://www.amazon.com/Sony-WH-CH710N-Cancelling-Headphones-Assistant/dp/B086LLYK4S/ref=sr_1_14?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-14
"Sony WI-C200 Wireless in-Ear Headset/Headphones with mic for Phone Call, Black (WIC200/B)",$33.47,4.4 out of 5 stars,2156,https://www.amazon.com/Sony-Wi-C200-Wireless-Headphones-WIC200/dp/B07THLNKH3/ref=sr_1_15?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-15
Sony MDRE9LP/WHI Earbud Headphones,$10.73,4.3 out of 5 stars,9486,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02471861LEJNDCM1NH3O&url=%2FSony-MDRE9LP-WHI-Earbud-Headphones%2Fdp%2FB004RE3YQW%2Fref%3Dsr_1_16_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342774%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-16-spons%26psc%3D1&qualifier=1625342774&id=8516052599535534&widgetName=sp_mtf
SONY WH-1000XM3 Wireless Noise canceling Stereo Headset(International Version/Seller Warrant) (Black),$199.89,4.6 out of 5 stars,4705,https://www.amazon.com/WH-1000XM3-Wireless-canceling-Headset-International/dp/B07H2DBFQZ/ref=sr_1_17?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-17
"Sony WF-XB700 EXTRA BASS True Wireless Earbuds Headset/Headphones with Mic for Phone Call Bluetooth Technology, Blue",$128.00,4.4 out of 5 stars,7031,https://www.amazon.com/Sony-WF-XB700-Headphones-Bluetooth-Technology/dp/B085VQFZ91/ref=sr_1_18?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-18
Sony WH-1000XM4 Wireless Noise Canceling Over-Ear Headphones (Black) with Sony WI-SP500 in-Ear Sports Wireless Headphones (Black) Bundle (2 Items),$348.00,4.6 out of 5 stars,36,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Canceling-Headphones/dp/B08WZXP336/ref=sr_1_19?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-19
Sony WHXB900 Extra Bass Wireless Noise Cancelling Headphones,$155.39,4.7 out of 5 stars,298,https://www.amazon.com/Sony-WHXB900-Wireless-Cancelling-Headphones/dp/B07VGZQJXC/ref=sr_1_20?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342774&sprefix=ultra%2Caps%2C198&sr=8-20
Sephia Sp3060VC in Ear Headphones Earbuds with Microphone Noise Isolating Earphones Enhanced Bass,$15.95,4.2 out of 5 stars,4372,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0115624WQCP65FO5YDR&url=%2FSephia-Isolating-Headphones-Smartphones-Microphone%2Fdp%2FB079RC9338%2Fref%3Dsr_1_21_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342774%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-21-spons%26psc%3D1&qualifier=1625342774&id=8516052599535534&widgetName=sp_btf
"Sony Noise Cancelling Headphones WHCH700N - Wireless Bluetooth Over The Ear Headset with Mic for Phone-Call and Alexa Voice Control – Black + NeeGo 3.5mm Headphone Extension Cable, 10ft",$168.99,4.5 out of 5 stars,79,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09311751Y4IX14YDCYNG&url=%2FSony-Noise-Cancelling-Headphones-WHCH700N%2Fdp%2FB089WJN6C4%2Fref%3Dsr_1_22_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342774%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-22-spons%26psc%3D1&qualifier=1625342774&id=8516052599535534&widgetName=sp_btf
"Bose Noise Cancelling Headphones 700 — Over Ear, Wireless Bluetooth Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Soapstone",$379.00,4.5 out of 5 stars,21648,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06844713PPKEIWAEXBMH&url=%2FBose-Cancelling-Bluetooth-Headphones-Soapstone%2Fdp%2FB07X5F81JS%2Fref%3Dsr_1_17_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-17-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_atf_next
Sharper Image Noise Cancelling Bluetooth Headphones,$79.00,4.4 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00165561T7P0VPFT4OXX&url=%2FSharper-Image-Cancelling-Bluetooth-Headphones%2Fdp%2FB07KFM6KB6%2Fref%3Dsr_1_18_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-18-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_atf_next
"Sony WHXB700 Wireless Extra Bass Bluetooth Headset/Headphones with mic for Phone Call and Alexa Voice Control, Black",$128.00,4.5 out of 5 stars,2032,https://www.amazon.com/Sony-WH-XB700-Wireless-Bluetooth-Headphones/dp/B07PGL8J8G/ref=sr_1_19?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-19
Sony WH-CH710N/B Wireless Bluetooth Noise Cancelling Headphones (Renewed),$49.99,4.4 out of 5 stars,149,https://www.amazon.com/Sony-WH-CH710N-Bluetooth-Cancelling-Headphones/dp/B08GM9NKS2/ref=sr_1_20?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-20
Sony Noise Cancelling Headphones WHCH700N: Wireless Bluetooth Over The Ear Headset with Mic for Phone-Call and Alexa Voice Control W/GM 7- in-1 Accessories (Black),$99.99,5.0 out of 5 stars,2,https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WHCH700N/dp/B094NJCDRR/ref=sr_1_21?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-21
"Sony MDR-ZX310AP ZX Series Wired On Ear Headphones with mic, Blue",$19.99,4.4 out of 5 stars,5448,https://www.amazon.com/Sony-MDR-ZX310AP-Headband-Stereo-Headset/dp/B00IKYI3BQ/ref=sr_1_22?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-22
Sony MDR-Z7M2 Hi-Res Stereo Overhead Headphones Headphone (MDRZ7M2) Black,$598.00,4.5 out of 5 stars,48,https://www.amazon.com/Sony-MDR-Z7M2-Headphones-Headphone-MDRZ7M2/dp/B07G7LZNTW/ref=sr_1_23?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-23
"Sony WF-XB700 Truly Wireless Bluetooth Headphones, with Extra Bass, up to 18h battery life, splash and sweat resistance, Built-in Mic and Voice Assistant - Black",$124.99, , ,https://www.amazon.com/Sony-Bluetooth-Headphones-resistance-Assistant/dp/B086LKXYMD/ref=sr_1_24?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-24
Sony Noise Cancelling Headphones WHCH700N: Wireless Bluetooth Over the Ear Headset with Mic for phone-call and Alexa voice control - Black,$198.00,4.5 out of 5 stars,4571,https://www.amazon.com/Sony-WH-CH700N-Canceling-Headphones-WHCH700N/dp/B079GPFLT1/ref=sr_1_25?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-25
SONXTRONIC Xdr-8000 Vertical in Ear Ultralight Sport Running Headband Headphones,$24.99,4.0 out of 5 stars,1623,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0542695NYFXCBIV007X&url=%2FSONXTRONIC-Xdr-8000-Vertical-Ultralight-Headphones%2Fdp%2FB00QHOCTG6%2Fref%3Dsr_1_27_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-27-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_mtf
"Replacement for i Phone Headphones Wired Stereo Sound Earbuds Earphones with Microphone and Volume Control,Isolation Noise Compatible with 14/13/12/11 All i OS Systems",$12.98,4.0 out of 5 stars,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A03162669VN5LGWB29DU&url=%2FReplacement-Headphones-Earphones-Microphone-Compatible%2Fdp%2FB09641RS42%2Fref%3Dsr_1_28_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-28-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_mtf
"Bose Noise Cancelling Headphones 700 — Over Ear, Wireless Bluetooth Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Soapstone",$379.00,4.5 out of 5 stars,21648,https://www.amazon.com/Bose-Cancelling-Bluetooth-Headphones-Soapstone/dp/B07X5F81JS/ref=sr_1_29?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-29
Sony WH-1000XM4 Wireless Noise-Cancelling Over-The-Ear Headphones - Silver (Renewed),$199.99,4.6 out of 5 stars,109,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Noise-Cancelling-Headphones/dp/B08J1LF55S/ref=sr_1_30?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-30
Sony Extra Bass True Wireless Headphones - Black - WF-XB700/BZ,$56.95,4.2 out of 5 stars,485,https://www.amazon.com/Sony-Headphones-Bluetooth-Technology-WFXB700/dp/B08C288T86/ref=sr_1_31?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-31
"Sony MDRXB650BT/B Extra Bass Bluetooth Headphones, Black",$98.00,4.3 out of 5 stars,4594,https://www.amazon.com/Sony-MDRXB650BT-Extra-Bluetooth-Headphones/dp/B01BY7ZMXC/ref=sr_1_32?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-32
"Sony WH-XB900N Extra BASS Wireless Noise Cancelling Headphones (Black) with 10,000mAh PD & QC Fast Charging Ultra-Slim Battery Pack and Compact Headphone case (3 Items)",$248.00,4.7 out of 5 stars,127,https://www.amazon.com/Sony-WH-XB900N-Cancelling-Headphones-Ultra-Slim/dp/B07VR23S18/ref=sr_1_33?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-33
Skullcandy Indy Evo True Wireless In-Ear Earbud - 92 Blue,$49.99,4.1 out of 5 stars,16451,https://www.amazon.com/Skullcandy-Indy-True-Wireless-Earbud/dp/B0857JXV94/ref=sr_1_36?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342778&sprefix=ultra%2Caps%2C198&sr=8-36
Skullcandy Cassette Wireless Over-Ear Headphone - Chill Grey,$29.99,4.6 out of 5 stars,857,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0199025ZJV793JMF1HH&url=%2FSkullcandy-Cassette-Wireless-Over-Ear-Headphone%2Fdp%2FB08MV5BVVR%2Fref%3Dsr_1_37_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-37-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_btf
"Hard Case for Sony WH-CH700N/Sony WH-CH710N Wireless Noise Cancelling Headphones, Travel Carrying Storage Bag - Black+Black",$13.95,4.8 out of 5 stars,2263,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0751842P9VWQIH1PUDA&url=%2FL3-Tech-WH-CH700N-Cancelling-Headphones%2Fdp%2FB07PF31YFJ%2Fref%3Dsr_1_38_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-38-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_btf
